TICKER,date,PRC,RET,VOL,SHROUT
AAPL,2014-01-02,553.13,-0.014064,8338094,892.447
AAPL,2014-01-03,540.97998,-0.021966,13992006,892.447
AAPL,2014-01-06,543.92999,0.005453,14820614,892.447
AAPL,2014-01-07,540.03748,-0.007156,11381939,892.447
AAPL,2014-01-08,543.46002,0.006338,9199689,892.447
AAPL,2014-01-09,536.51898,-0.012772,9938497,892.447
AAPL,2014-01-10,532.94,-0.006671,10839168,891.989
AAPL,2014-01-13,535.72998,0.005235,13474914,891.989
AAPL,2014-01-14,546.39001,0.019898,12687522,891.989
AAPL,2014-01-15,557.35999,0.020077,14026613,891.989
AAPL,2014-01-16,554.25,-0.00558,8160230,891.989
AAPL,2014-01-17,540.66998,-0.024502,15414978,891.989
AAPL,2014-01-21,549.07001,0.015536,11677186,891.989
AAPL,2014-01-22,551.51001,0.004444,13528022,891.989
AAPL,2014-01-23,556.17999,0.008468,14303549,891.989
AAPL,2014-01-24,546.07001,-0.018178,15437662,891.989
AAPL,2014-01-27,550.5,0.008112,20551564,891.989
AAPL,2014-01-28,506.5,-0.079927,38174933,891.989
AAPL,2014-01-29,500.75,-0.011352,18053678,891.989
AAPL,2014-01-30,499.78201,-0.001933,26588662,891.989
AAPL,2014-01-31,500.60001,0.001637,18220292,891.989
AAPL,2014-02-03,501.53,0.001858,14374466,891.989
AAPL,2014-02-04,508.79001,0.014476,13762649,891.989
AAPL,2014-02-05,512.59003,0.007469,12037845,891.989
AAPL,2014-02-06,512.51001,0.005794,9225014,891.989
AAPL,2014-02-07,519.67999,0.01399,13377043,891.989
AAPL,2014-02-10,528.98999,0.017915,12350146,891.989
AAPL,2014-02-11,535.96002,0.013176,10108240,891.989
AAPL,2014-02-12,535.91998,-7.5e-05,11046152,891.989
AAPL,2014-02-13,544.42999,0.015879,10994308,891.989
AAPL,2014-02-14,543.98999,-0.000808,9781372,891.989
AAPL,2014-02-18,545.98999,0.003677,9329464,891.989
AAPL,2014-02-19,537.37,-0.015788,11221250,891.989
AAPL,2014-02-20,531.15002,-0.011575,10932729,891.989
AAPL,2014-02-21,525.25,-0.011108,9965331,891.989
AAPL,2014-02-24,527.54999,0.004379,10337850,891.989
AAPL,2014-02-25,522.06,-0.010407,8321060,891.989
AAPL,2014-02-26,517.34998,-0.009022,9876081,891.989
AAPL,2014-02-27,527.66998,0.019948,10793903,891.989
AAPL,2014-02-28,526.23999,-0.00271,13296879,891.989
AAPL,2014-03-03,527.76001,0.002888,8612772,891.989
AAPL,2014-03-04,531.23999,0.006594,9270562,891.989
AAPL,2014-03-05,532.35999,0.002108,7352217,891.989
AAPL,2014-03-06,530.75,-0.003024,6631873,891.989
AAPL,2014-03-07,530.44,-0.000584,7926663,891.989
AAPL,2014-03-10,530.91998,0.000905,6384500,891.989
AAPL,2014-03-11,536.09003,0.009738,10028407,891.989
AAPL,2014-03-12,536.60999,0.00097,7170808,891.989
AAPL,2014-03-13,530.65002,-0.011107,9205087,891.989
AAPL,2014-03-14,524.69,-0.011232,8471356,891.989
AAPL,2014-03-17,526.73999,0.003907,7126794,891.989
AAPL,2014-03-18,531.40002,0.008847,7493109,891.989
AAPL,2014-03-19,531.26001,-0.000263,8026994,891.989
AAPL,2014-03-20,528.70001,-0.004819,7457791,891.989
AAPL,2014-03-21,532.87,0.007887,13373167,891.989
AAPL,2014-03-24,539.19,0.01186,12703553,891.989
AAPL,2014-03-25,544.98999,0.010757,10426908,891.989
AAPL,2014-03-26,539.78003,-0.00956,10706032,891.989
AAPL,2014-03-27,537.46002,-0.004298,7930475,891.989
AAPL,2014-03-28,536.85999,-0.001116,7163009,861.745
AAPL,2014-03-31,536.73999,-0.000224,6023884,861.745
AAPL,2014-04-01,541.65002,0.009148,7180892,861.745
AAPL,2014-04-02,542.54999,0.001662,6443626,861.745
AAPL,2014-04-03,538.78998,-0.00693,5806940,861.745
AAPL,2014-04-04,531.82001,-0.012936,9830355,861.745
AAPL,2014-04-07,523.46997,-0.015701,10379923,861.745
AAPL,2014-04-08,523.44,-5.7e-05,8710269,861.745
AAPL,2014-04-09,530.32001,0.013144,7363246,861.745
AAPL,2014-04-10,523.47998,-0.012898,8559074,861.745
AAPL,2014-04-11,519.60999,-0.007393,9714154,861.381
AAPL,2014-04-14,521.67999,0.003984,7349311,861.381
AAPL,2014-04-15,517.9599,-0.007131,9517511,861.381
AAPL,2014-04-16,519.01001,0.002027,7676542,861.381
AAPL,2014-04-17,524.94,0.011426,10168103,861.381
AAPL,2014-04-21,531.16998,0.011868,6524133,861.381
AAPL,2014-04-22,531.69897,0.000996,7237779,861.381
AAPL,2014-04-23,524.75,-0.013069,14105004,861.381
AAPL,2014-04-24,567.77002,0.081982,27144736,861.381
AAPL,2014-04-25,571.94,0.007344,13938402,861.381
AAPL,2014-04-28,594.09003,0.038728,23910286,861.381
AAPL,2014-04-29,592.33002,-0.002963,12049379,861.381
AAPL,2014-04-30,590.09003,-0.003782,16317269,861.381
AAPL,2014-05-01,591.47998,0.002355,8739982,861.381
AAPL,2014-05-02,592.58002,0.00186,6839796,861.381
AAPL,2014-05-05,600.96002,0.014142,10253129,861.381
AAPL,2014-05-06,594.40997,-0.010899,13416581,861.381
AAPL,2014-05-07,592.33002,-0.003499,10102284,861.381
AAPL,2014-05-08,587.98999,-0.001773,8224909,861.381
AAPL,2014-05-09,585.54248,-0.004163,10414214,861.381
AAPL,2014-05-12,592.83002,0.012446,7617863,861.381
AAPL,2014-05-13,593.76001,0.001569,5704942,861.381
AAPL,2014-05-14,593.87,0.000185,5942978,861.381
AAPL,2014-05-15,588.82001,-0.008504,8343370,861.381
AAPL,2014-05-16,597.51001,0.014758,9870262,861.381
AAPL,2014-05-19,604.59003,0.011849,11348432,861.381
AAPL,2014-05-20,604.71002,0.000198,8386998,861.381
AAPL,2014-05-21,606.31,0.002646,7050742,861.381
AAPL,2014-05-22,607.27002,0.001583,7224255,861.381
AAPL,2014-05-23,614.13,0.011296,8333427,861.381
AAPL,2014-05-27,625.63,0.018726,12459515,861.381
AAPL,2014-05-28,624.01001,-0.002589,11304976,861.381
AAPL,2014-05-29,635.38,0.018221,13445550,861.381
AAPL,2014-05-30,633,-0.003746,20143668,861.381
AAPL,2014-06-02,628.65002,-0.006872,13215942,861.381
AAPL,2014-06-03,637.53998,0.014141,10461660,861.381
AAPL,2014-06-04,644.82001,0.011419,11982292,861.381
AAPL,2014-06-05,647.34998,0.003924,10850163,861.381
AAPL,2014-06-06,645.57001,-0.00275,12518493,861.381
AAPL,2014-06-09,93.7,0.016001,75435857,6029.667
AAPL,2014-06-10,94.25,0.00587,62777132,6029.667
AAPL,2014-06-11,93.86,-0.004138,45698735,6029.667
AAPL,2014-06-12,92.29,-0.016727,54748851,6029.667
AAPL,2014-06-13,91.28,-0.010944,54525280,6029.667
AAPL,2014-06-16,92.2,0.010079,35689508,6029.667
AAPL,2014-06-17,92.08,-0.001301,29726347,6029.667
AAPL,2014-06-18,92.18,0.001086,33514108,6029.667
AAPL,2014-06-19,91.86,-0.003471,35527686,6029.667
AAPL,2014-06-20,90.91,-0.010342,100910666,6029.667
AAPL,2014-06-23,90.83,-0.00088,43696091,6029.667
AAPL,2014-06-24,90.28,-0.006055,39093494,6029.667
AAPL,2014-06-25,90.36,0.000886,36868551,6029.667
AAPL,2014-06-26,90.9,0.005976,32629569,6029.667
AAPL,2014-06-27,91.98,0.011881,64086742,5989.171
AAPL,2014-06-30,92.93,0.010328,49589028,5989.171
AAPL,2014-07-01,93.52,0.006349,38408645,5989.171
AAPL,2014-07-02,93.48,-0.000428,28466171,5989.171
AAPL,2014-07-03,94.03,0.005884,22891753,5989.171
AAPL,2014-07-07,95.968,0.02061,56500877,5989.171
AAPL,2014-07-08,95.35,-0.00644,65926203,5989.171
