,Mkt-RF,SMB,HML,WML
193909,16.88,20.23,22.22,-30.35
193910,-0.53,-0.01,-4.89,6.46
193911,-3.62,-5.07,-6.46,-0.22
193912,3.03,0.79,-4.06,5.4
194001,-2.41,0.24,-0.77,1.74
194002,1.44,2.51,-0.32,1.81
194003,2.05,1.25,-1.27,-0.36
194004,0.22,3.92,-0.13,3.33
194005,-21.95,-6.66,-3.69,2.86
194006,6.67,-2.13,4.63,-2.14
194007,3.16,1.01,-0.74,0.85
194008,2.19,-0.11,0.56,-1.61
194009,2.39,3.22,-1.13,-0.26
194010,3.02,0.28,4.64,-6.53
194011,-1.61,1.94,0.12,1.33
194012,0.69,-2.15,-0.89,3.46
194101,-4.17,1,3.83,-4.72
194102,-1.43,-1.57,0.89,0.91
194103,0.84,0.1,3.04,2.43
194104,-5.46,-1.69,3.41,3.03
194105,1.39,-0.66,0.6,2.46
194106,5.83,1.32,0.59,-0.64
194107,5.87,5.7,7.25,-1.75
194108,-0.17,-0.41,-1.1,0.17
194109,-0.87,-0.99,-0.28,-1.57
194110,-5.25,-2.02,1.63,4.74
194111,-1.92,-1.21,-0.64,4.04
194112,-4.87,-2.98,-5.94,0.28
194201,0.79,7.52,10.1,-3.58
194202,-2.46,1.72,-1.13,-0.71
194203,-6.58,1.78,-0.62,-0.21
194204,-4.37,-0.6,2.09,-0.79
194205,5.94,-3.05,-2.65,-4.71
194206,2.69,-1.22,0.54,-1.32
194207,3.51,-0.16,2.4,0.77
194208,1.8,-0.09,1.33,-0.13
194209,2.61,0.66,2.39,-0.64
194210,6.82,1.82,6.47,-4.01
194211,0.15,-1.54,-4.24,-0.97
194212,5.12,-2.49,0.56,3.06
194301,7.13,8.78,8.23,-0.36
194302,6.15,4.84,6.51,-1.46
194303,6.01,5.03,5.48,4.74
194304,0.81,2.06,5.86,6.18
194305,5.74,4.41,3.28,5.61
194306,1.82,-1.06,-0.74,-1.3
194307,-4.77,-2.41,-2.27,-4.59
194308,1.3,-0.62,-0.47,0.71
194309,2.4,1.28,1.43,1.78
194310,-1.15,0.58,1.65,-0.53
194311,-5.91,-1.64,-4.04,-4.72
194312,6.36,3.34,3.22,5.99
194401,1.74,2.56,2.17,0.97
194402,0.37,-0.1,0.83,0.34
194403,2.46,1.71,3.43,2.61
194404,-1.69,-1.35,-1.13,0.52
194405,5.07,1.67,1.02,2.07
194406,5.49,4.04,1.82,-5.22
194407,-1.49,0.55,-0.43,0.19
194408,1.57,2.41,-1.63,4.68
194409,0.01,0.47,-1.21,-1.08
194410,0.16,-0.14,-0.34,-1.24
194411,1.71,0.37,2.31,1.28
194412,4.03,2.24,5.91,3.36
194501,2.01,2.44,0.71,0.04
194502,6.23,1.56,4.4,3.03
194503,-3.89,-1.61,-1.78,-3.28
194504,7.8,0.32,3.21,4.79
194505,1.73,1.51,0.35,0.11
194506,0.39,3.1,4.32,4.11
194507,-2.17,-1.46,-2.71,-2.62
194508,6.2,1.61,-4.4,-1.4
194509,4.77,1.71,0.48,1.4
194510,3.89,2.46,2.25,0.25
194511,5.39,4.16,4.34,4.25
194512,1.2,2.12,-2.32,1.23
194601,6.24,4.02,2.21,3.76
194602,-5.83,-0.73,-1.27,-1.45
194603,5.87,0.31,-0.36,2.69
194604,4.23,2.37,0.45,3.03
194605,3.93,1.46,1.09,-0.61
194606,-3.89,-1.53,-0.59,-2.52
194607,-2.69,-2.06,0.04,-0.1
194608,-6.44,-1.78,0.6,-0.03
194609,-10.17,-4.41,-1.96,0.74
194610,-1.44,0.09,3.44,0.97
194611,-0.01,-0.4,1.52,0.2
194612,4.96,0.06,-1.38,-0.1
194701,1.25,2.18,-0.73,-6.44
194702,-1.08,0.68,0.14,-0.49
194703,-1.67,-1.61,0.61,4.06
194704,-4.8,-3.97,0.85,5.05
194705,-0.97,-3.26,0.34,3.33
194706,5.29,-0.31,-0.6,-1.85
194707,4.14,1.43,2.82,-3.42
194708,-1.74,0.3,0.16,3.38
194709,-0.54,1.64,1.36,-0.02
194710,2.47,0.51,0.08,1.34
194711,-1.97,-1.74,1.06,4.23
194712,3,-2.48,3.69,3.6
194801,-3.93,2.49,1.38,-4.29
194802,-4.38,-1.71,0.07,1.47
194803,8.07,0.13,4.49,-0.19
194804,3.65,-1.66,4.1,4.06
194805,7.3,0.93,-1.23,2.38
194806,-0.1,-1.86,2.75,3.99
194807,-5.09,-0.32,0.07,-1.58
194808,0.25,-1.1,0.27,0.23
194809,-2.97,-1.23,-1.79,-1.26
194810,5.96,-1.5,0.56,2.79
194811,-9.3,-0.62,-4.14,0.6
194812,3.26,-2.8,-1.94,4.66
194901,0.23,1.81,1.17,-2.92
194902,-2.93,-1.89,-0.91,-0.41
194903,4.04,2.48,1.34,-0.87
194904,-1.87,-0.89,-1.18,3.06
194905,-2.94,-0.77,-2.42,3.04
194906,0.1,-0.88,-1.76,-1.28
194907,5.54,0.57,0.38,-1.54
194908,2.6,0.13,-0.57,1.7
194909,3.09,1.05,0.23,-1.42
194910,3.14,1.03,-0.49,0
194911,1.82,-0.93,-0.91,1.27
194912,5.13,2.07,1.75,-0.78
195001,1.7,3.36,0.14,-2.32
195002,1.48,0.04,-0.81,1.36
195003,1.26,-1.41,-2.77,1.54
195004,3.94,1.99,1.34,0.33
195005,4.31,-2.12,0.46,0.38
195006,-5.94,-2.38,-0.78,-1.66
195007,1.36,0.51,13.66,-0.47
195008,4.85,0.73,-1.41,3.21
195009,4.81,0.57,-1.11,-0.13
195010,-0.18,-0.58,1.44,1.42
195011,2.76,-0.84,3.17,3.59
195012,5.54,1.49,7.23,4.97
195101,5.7,1.73,3.72,2
195102,1.41,0.09,-2.83,-1.58
195103,-2.15,-0.64,-4.22,-2.95
195104,4.86,-1.49,3.28,6.02
195105,-2.34,-0.01,-1.33,-0.93
195106,-2.62,-1.95,-3.96,-2.39
195107,6.94,-1.99,2.01,7.24
195108,4.27,0.99,-0.16,1
195109,0.7,1.9,0.59,0.56
195110,-2.53,-0.23,0.25,-0.31
195111,0.57,-0.29,-0.06,0.63
195112,3.33,-2.25,-1.55,1.7
195201,1.45,-0.61,1.54,1.37
195202,-2.62,0.79,-0.6,-0.75
195203,4.44,-2.99,2.16,1.65
195204,-4.97,0.48,-0.1,-2.04
195205,3.2,-1.01,0.07,0.49
195206,3.83,-1.61,1.23,1.5
195207,0.91,-0.4,-0.33,-0.52
195208,-0.76,1.15,0.07,0.31
195209,-2.03,1.12,-1.44,1.76
195210,-0.66,-1.02,-0.54,2.75
195211,5.94,-0.72,0.99,0.44
195212,2.93,-1.48,0.2,1.51
195301,-0.34,3.55,1.34,0.72
195302,-0.27,2.16,-0.09,0.86
195303,-1.43,-0.18,-0.84,0.08
195304,-2.83,0.27,1.54,1.85
195305,0.52,-0.07,0.24,0.94
195306,-1.89,-1.85,-0.51,-0.01
195307,2.4,-1.05,-0.23,-0.31
195308,-4.52,0.36,-3.54,2.21
195309,0.2,-0.85,-2.42,2.88
195310,4.6,-1.37,-0.2,0.27
195311,2.83,-1.3,-0.16,1.95
195312,0.03,-0.85,-2.82,5.19
195401,5.13,0.47,3.49,-5.74
195402,1.67,-0.17,-0.29,1.03
195403,3.65,-0.49,-1.45,2.2
195404,4.27,-3.48,-0.37,4.98
195405,3.09,0.39,2.46,-1.99
195406,1.07,0.4,-0.01,3.52
195407,4.99,1.05,4.16,0.44
195408,-2.34,2.68,-1.39,-0.64
195409,6.39,-2.55,0.69,1.54
195410,-1.67,0.6,0.68,0.96
195411,9.38,-2.64,4.39,1.93
195412,5.48,2.17,5.65,-1.41
195501,0.6,0.27,2.14,1.36
195502,3.02,1.56,0.59,1.09
195503,-0.16,-0.67,1.97,1.03
195504,3.11,-1.72,0.68,0.09
195505,0.93,-0.24,-0.96,0.56
195506,6.55,-4.61,1.84,4.66
195507,1.9,-1.16,0.34,-1.23
195508,0.21,-0.44,0.72,1.79
195509,-0.36,0.28,-0.99,1.77
195510,-2.68,1.51,-0.16,-0.5
195511,7.03,-2.2,0.32,2.67
195512,1.49,2.12,-2.29,-1.33
195601,-3.03,0.4,0.94,-1.48
195602,3.77,-0.98,-0.43,1.97
195603,6.64,-2.14,-0.5,3.59
195604,0.28,0.04,-0.25,2.57
195605,-5.2,1.46,-1.31,-1.62
195606,3.48,-1.48,-1.13,2.71
195607,4.84,-1.67,-0.05,2.52
195608,-3.18,1.9,-0.72,-0.69
195609,-5.14,1.57,1.77,-0.76
195610,0.52,-0.09,-0.06,2.46
195611,0.36,-0.22,1.77,3.41
195612,3.16,-0.02,-2.16,3.81
195701,-3.58,3.37,2.82,-3.05
195702,-2.06,-0.72,-0.72,0.31
195703,2.13,0.27,-0.46,-0.18
