,Mkt-RF,SMB,HML,WML
198303,2.82,1.76,2.05,0.93
198304,6.67,0.52,0.56,1.8
198305,0.52,6.15,-1.42,-1.59
198306,3.07,0.89,-3.93,1.78
198307,-4.07,1.46,5.61,-3.13
198308,-0.5,-4.3,5.56,-5.44
198309,0.91,0.56,1.08,-0.1
198310,-3.44,-3.6,5.07,-4.56
198311,2.16,2.03,-0.64,-0.09
198312,-1.78,-0.29,1.68,0.74
198401,-1.92,-0.43,7.62,-2.49
198402,-4.82,-1.71,3.36,0.19
198403,0.63,0.08,0.51,1.09
198404,-0.51,-1.21,1.27,2.05
198405,-5.97,0.03,0.26,1.52
198406,1.82,-0.32,-2.62,-0.7
198407,-2.74,-2.22,0.48,2.93
198408,10.28,-0.27,-1.82,-5.69
198409,-0.8,0.2,5.32,3.67
198410,-0.84,-1.2,0.51,3.21
198411,-1.76,-0.63,4.08,1.7
198412,1.84,-0.6,-0.2,1.54
198501,7.99,3.29,-5.41,-6.9
198502,1.22,0.76,-0.13,1.82
198503,-0.84,-1.15,4.1,1.68
198504,-0.96,0.14,3.72,3.06
198505,5.09,-2.25,-0.92,4
198506,1.27,0.5,0.5,3.63
198507,-0.74,2.84,-1.68,-3.94
198508,-1.02,-0.33,2.32,1.82
198509,-4.54,-1.59,1.31,1.48
198510,4.02,-1.57,0.78,4.88
198511,6.48,0.22,-2.88,-0.4
198512,3.88,-0.49,-1.52,-0.13
198601,0.65,1.22,0.52,2.96
198602,7.13,-0.62,-0.85,2.78
198603,4.88,-0.52,-0.44,2.45
198604,-1.31,2.85,-2.86,-0.5
198605,4.62,-1.32,-0.14,2.02
198606,1.03,-0.93,1.36,5.16
198607,-6.45,-3.39,4.76,1.8
198608,6.07,-4.2,3.5,-5.01
198609,-8.6,2.26,3.16,-5.86
198610,4.66,-2.48,-1.37,2.69
198611,1.17,-1.92,-0.13,-0.32
198612,-3.27,0.09,0.27,0.4
198701,12.47,-1.83,-3.26,2.1
198702,4.39,3.49,-5.97,-2.17
198703,1.64,0.39,1.62,1.6
198704,-2.11,-1.7,-0.34,0.26
198705,0.11,-0.53,0.22,-0.68
198706,3.94,-2.18,1.01,-0.2
198707,3.85,-0.67,0.67,2.67
198708,3.52,-0.72,-0.92,-0.87
198709,-2.59,0.52,0.27,0.71
198710,-23.24,-8.41,4.2,-7.86
198711,-7.77,2.78,3.13,-1.14
198712,6.81,0.13,-4.45,5.83
198801,4.21,-0.78,4.99,-7.58
198802,4.75,3.35,-1.62,-1.54
198803,-2.27,6.15,0.72,0.63
198804,0.56,0.96,1.7,2.25
198805,-0.29,-2.64,2.33,0.64
198806,4.79,2.17,-1.09,-2.91
198807,-1.25,-0.22,2.2,0.63
198808,-3.31,0.06,2.12,0.33
198809,3.3,-1.26,-0.68,0.23
198810,1.15,-2.9,1.7,1.31
198811,-2.29,-1.73,1.3,0.42
198812,1.49,1.94,-1.54,0.42
198901,6.1,-2.14,0.49,-0.14
198902,-2.25,2.77,0.9,0.94
198903,1.57,0.74,0.47,3.56
198904,4.33,-0.58,-1.42,1.69
198905,3.35,-0.05,-0.9,1.56
198906,-1.35,-1,2.27,0.63
198907,7.2,-4.03,-2.79,5.41
198908,1.44,0.51,0.63,-0.15
198909,-0.76,0.25,-1.25,3.4
198910,-3.67,-3.25,-1.07,1.36
198911,1.03,-1.27,-1.07,2.58
198912,1.16,-2.4,0.21,2.79
199001,-7.85,-1.26,0.78,-3.28
199002,1.11,1.02,0.65,-0.53
199003,1.83,1.55,-3.03,1.64
199004,-3.36,-0.5,-2.47,2.43
199005,8.42,-2.56,-3.89,3.05
199006,-1.09,1.42,-1.99,2.43
199007,-1.9,-3.2,-0.11,5.94
199008,-10.15,-3.57,1.63,1.76
199009,-6.12,-3.68,0.71,5.56
199010,-1.92,-5.55,0.19,6.73
199011,6.35,0.36,-3.21,-5.62
199012,2.46,0.75,-1.72,0.02
199101,4.69,3.76,-1.74,-6.55
199102,7.19,3.96,-0.55,-4.75
199103,2.65,3.92,-1.32,2.76
199104,-0.28,0.49,1.48,-2.4
199105,3.65,-0.35,-0.57,-0.09
199106,-4.94,0.08,1.23,0.46
199107,4.24,-0.93,-1.25,4.34
199108,2.32,1.59,-0.83,1.63
199109,-1.59,1.64,-0.98,1.73
199110,1.29,0.88,-0.47,3.22
199111,-4.19,-0.48,-1.85,1.26
199112,10.84,-2.26,-4.11,8.3
199201,-0.59,8.49,4.61,-2.51
199202,1.09,0.87,6.37,-0.58
199203,-2.66,-1.04,3.61,-0.36
199204,1.07,-6.12,4.27,-2.54
199205,0.3,0.4,1.25,0.13
199206,-2.34,-3.1,3.36,-0.61
199207,3.77,-0.42,-0.37,1.44
199208,-2.38,-0.13,-1.06,-0.51
199209,1.19,0.58,-0.28,1.43
199210,1.02,2.03,-2.01,2.71
199211,4.13,3.69,-1.4,-0.34
199212,1.53,1.63,2.63,4.44
199301,0.93,1.98,5.92,4.83
199302,0.12,-3.47,6.41,3.1
199303,2.3,0.23,1.31,3.74
199304,-3.05,-0.66,2.52,0.33
199305,2.89,1.98,-3.45,0.3
199306,0.31,-0.32,2.72,4.57
199307,-0.34,0.89,2.82,3.25
199308,3.71,0.15,0.13,2.58
199309,-0.12,3.02,-0.25,3.41
199310,1.41,2.04,-2.72,-2.67
199311,-1.89,-1.22,-0.77,-4.71
199312,1.65,1.22,0.36,2.28
199401,2.87,0.4,1.13,0.02
199402,-2.55,2.8,-1.59,-0.29
199403,-4.78,-1.14,1.63,-1.33
199404,0.68,-0.98,1.66,0.41
199405,0.58,-2.13,0.66,-2.15
199406,-3.03,-0.42,1.72,-0.82
199407,2.82,-1.8,0.56,0.19
199408,4.01,1.42,-2.47,1.56
199409,-2.31,3.12,-1.87,1.33
199410,1.34,-2.23,-1.66,1.43
199411,-4.04,0.26,-0.69,-0.2
199412,0.86,0.3,-0.2,3.5
199501,1.8,-3.53,2.54,-1.82
199502,3.63,-0.64,1.12,-0.36
199503,2.19,-0.17,-2.15,0.38
199504,2.11,-0.53,1.71,1.8
199505,2.9,-2.55,2.23,-0.44
199506,2.72,3.14,-2.5,2.9
199507,3.72,2.08,-1.63,2.53
199508,0.55,1.36,2.84,0.09
199509,3.35,-2.29,0.02,2.71
199510,-1.52,-3.82,-0.46,4.11
199511,3.96,-1.2,0.61,-0.65
199512,1.03,0.64,0.33,2.54
199601,2.26,-2.63,0.22,0.57
199602,1.33,1.81,-1.16,0.57
199603,0.73,1.52,0.31,-1.88
199604,2.06,5.24,-4.08,-0.91
199605,2.36,3.08,-0.8,1.55
199606,-1.14,-3.91,2.26,1.01
199607,-5.97,-4.31,5.16,-0.11
199608,2.77,2.44,-0.78,-0.05
199609,5.01,-0.95,-2.76,2.7
199610,0.86,-4.45,4.92,3.91
199611,6.25,-4.07,1.46,-2.23
199612,-1.7,3.08,1.33,0.61
199701,4.98,-1.93,-1.43,1.95
199702,-0.49,-3.29,5.7,-2.05
199703,-5.02,-0.44,3.43,0.96
199704,4.04,-5.74,0.09,4.92
199705,6.74,5.16,-4.08,-5.16
199706,4.1,1.19,1.62,2.62
199707,7.33,-2.7,0.2,3.81
199708,-4.15,7.33,1.12,-2.55
199709,5.35,2.56,0.29,1.45
199710,-3.8,-0.8,2.33,-0.38
199711,2.98,-5.11,1.24,0.29
199712,1.32,-2.66,4.03,3.95
199801,0.15,-1.02,-1.65,0.11
199802,7.04,0.26,-0.78,-1.15
199803,4.76,-1.21,1.54,2.15
199804,0.73,0.03,0.89,0.78
199805,-3.07,-3.4,3.43,1.88
199806,3.18,-3.32,-1.8,7.26
199807,-2.46,-4.94,-1.71,3.68
199808,-16.08,-5.68,3.56,1.88
199809,6.15,0.06,-3.42,-0.71
199810,7.13,-3.11,-2.21,-5.36
199811,6.1,1.21,-3.16,1.16
199812,6.16,-0.54,-4.2,8.99
199901,3.5,0.81,-4.66,3.04
199902,-4.08,-6.08,1.91,-0.16
199903,3.45,-3.76,-2.77,-1.29
199904,4.33,3.98,2.34,-9.06
199905,-2.46,3.33,2.36,-5.28
199906,4.77,3.15,-3.4,4.88
199907,-3.49,2.55,-0.48,1.51
199908,-1.38,-1,-1.72,2.92
199909,-2.79,3.36,-3.42,6.46
199910,6.12,-6.75,-3.16,5.47
199911,3.37,7.17,-6.07,5.62
199912,7.72,7.07,-8.4,13.19
200001,-4.74,5.7,-1.75,1.86
200002,2.45,21.19,-8.94,18.36
200003,5.2,-16.82,7.66,-6.39
200004,-6.4,-6.93,7.41,-8.57
200005,-4.42,-6.33,5.01,-9.08
200006,4.64,12.8,-8.22,16.59
200007,-2.51,-3.16,8.4,-0.11
200008,7.03,-0.65,-1.47,5.7
200009,-5.45,-1.89,7.28,2.2
200010,-2.76,-3.87,5.71,-4.63
200011,-10.72,-3.5,12.53,-2.4
200012,1.19,0.73,7.67,6.7
200101,3.13,6.76,-5.33,-25.05
200102,-10.05,-0.82,12.58,12.51
200103,-7.26,0.17,6.52,8.35
200104,7.94,0.61,-4.8,-7.97
200105,0.72,2.53,3.34,2.12
200106,-1.94,6.25,-1.16,0.34
200107,-2.13,-4.23,5.35,5.47
200108,-6.46,2.48,2.33,5.54
200109,-9.25,-6.25,1.57,11.54
200110,2.46,7.57,-7.66,-8.41
200111,7.54,-0.48,2.16,-8.58
200112,1.61,4.79,0.9,-0.02
200201,-1.44,1.18,3.38,3.68
200202,-2.29,-1.07,2.21,6.77
200203,4.24,4.14,1.08,-1.67
200204,-5.2,5.84,3.96,7.95
200205,-1.38,-3.26,1.57,2.97
200206,-7.21,4.2,0.04,6.15
200207,-8.18,-5.22,-3.71,3.34
200208,0.5,-2.94,3.23,1.76
200209,-10.35,2.39,1.49,9.09
200210,7.84,-3.44,-4.07,-5.31
200211,5.96,3.23,-1.51,-16.19
200212,-5.76,-0.01,2.28,9.64
200301,-2.57,1.28,-0.86,1.6
200302,-1.88,-0.46,-1.33,1.25
200303,1.09,0.93,-2.15,1.6
200304,8.22,0.64,0.89,-9.49
200305,6.05,4.49,0.11,-10.85
200306,1.42,1.75,0.39,-1.09
200307,2.35,5.23,-1.08,-0.31
200308,2.34,2.7,1.61,-0.55
200309,-1.24,0.71,0.05,-0.19
200310,6.08,2.64,1.92,3.73
200311,1.35,1.99,1.8,1.63
200312,4.29,-2.76,1.58,-5.69
200401,2.15,2.53,2.45,2.59
200402,1.4,-1.56,0.86,-1.07
200403,-1.32,1.75,0.24,0.22
200404,-1.83,-1.73,-3.07,-5.37
200405,1.17,-0.24,-0.29,1.59
200406,1.86,2.28,1.23,2.09
200407,-4.06,-3.85,3.28,-2.28
200408,0.08,-1.56,0.96,-1.58
200409,1.6,3.01,-0.07,5.25
200410,1.43,0.13,-0.29,-1.52
200411,4.54,3.72,1.43,3.23
200412,3.43,-0.07,-0.18,-2.83
200501,-2.76,-1.72,2.01,3.19
200502,1.89,-0.55,1.63,3.18
200503,-1.97,-1.35,2.14,0.55
200504,-2.61,-3.97,0.05,-0.85
200505,3.65,2.8,-0.66,0.43
200506,0.57,2.55,2.82,2.06
200507,3.92,2.87,-0.83,-0.03
200508,-1.22,-0.98,1.38,2.27
200509,0.49,-0.66,0.74,3.45
200510,-2.02,-1.19,0.45,-1.3
200511,3.61,0.97,-1.16,0.27
200512,-0.25,-0.46,0.24,0.76
200601,3.04,5.4,0.99,2.68
200602,-0.3,-0.37,-0.26,-1.84
200603,1.46,3.49,0.68,1.26
200604,0.73,-1.41,2.37,0.61
200605,-3.57,-3.09,2.45,-3.65
200606,-0.35,-0.36,0.92,1.47
200607,-0.78,-3.99,2.67,-2.22
200608,2.03,1.02,-1.98,-3.46
200609,1.84,-1.29,-0.04,-0.95
200610,3.23,1.72,-0.3,-0.24
200611,1.71,0.78,0.07,-1.01
200612,0.87,-1.14,2.72,0.84
200701,1.4,0.16,-0.69,0.18
200702,-1.96,1.29,-0.17,-1.36
200703,0.68,0.08,-0.83,2.5
200704,3.49,-2.18,-1.38,-0.15
200705,3.24,0.27,-0.63,-0.27
200706,-1.96,0.78,-1.1,0.39
200707,-3.73,-2.45,-3.55,2.81
200708,0.92,-0.17,-1.91,0.1
200709,3.22,-2.22,-2.21,4.57
200710,1.8,0.25,-2.91,4.88
200711,-4.83,-2.8,-1,0.9
200712,-0.87,0.14,-0.59,6.54
200801,-6.36,-0.89,3.67,-7.88
200802,-3.09,-0.27,-0.88,6.11
200803,-0.93,0.79,0.14,4.1
200804,4.6,-1.59,-0.96,-0.33
200805,1.86,3.05,-1.45,3.21
200806,-8.44,1.22,-2.77,12.54
200807,-0.77,2.47,5.27,-5.13
200808,1.53,3.54,1.45,-4.03
200809,-9.24,-1.18,6.07,0.36
200810,-17.23,-2.52,-2.37,7.79
200811,-7.86,-2.82,-6.31,7.17
200812,1.74,3.51,0.14,-5.07
200901,-8.12,0.33,-11.12,-1.82
200902,-10.1,0.23,-7.03,4.03
200903,8.95,0,3.4,-11.61
200904,10.18,5.14,5.21,-34.39
200905,5.21,-2.63,0.49,-12.47
200906,0.43,2.63,-2.62,5.3
200907,7.72,1.9,4.87,-5.37
200908,3.33,-1.1,7.5,-8.82
200909,4.08,2.41,0.89,-4.95
200910,-2.59,-4.18,-4.03,2.66
200911,5.56,-2.48,-0.25,0.33
200912,2.75,6.13,-0.11,2.91
201001,-3.36,0.37,0.33,-5.36
201002,3.4,1.19,3.19,3.63
201003,6.31,1.44,2.11,3.71
201004,2,4.86,2.91,3.21
201005,-7.89,0.14,-2.39,-0.17
201006,-5.57,-1.84,-4.52,-2.99
201007,6.93,0.18,-0.36,1.9
201008,-4.77,-3.02,-1.9,-0.18
201009,9.54,3.93,-3.23,1.35
201010,3.88,1.07,-2.46,1.66
201011,0.6,3.78,-0.95,2.54
201012,6.82,0.68,3.64,-3.18
201101,1.99,-2.52,0.82,-0.29
201102,3.49,1.53,1.29,2.08
201103,0.46,2.58,-1.76,3.52
201104,2.9,-0.37,-2.43,0.06
201105,-1.27,-0.58,-2.05,-0.57
201106,-1.75,-0.11,-0.42,1.77
201107,-2.35,-1.37,-0.88,-0.01
201108,-5.99,-3.03,-2.56,-0.34
201109,-7.59,-3.35,-1.71,-2.52
201110,11.35,3.32,0.13,-1.44
201111,-0.28,-0.14,-0.48,4.01
201112,0.74,-0.66,1.68,1.98
201201,5.05,2.1,-0.9,-7.94
201202,4.42,-1.84,0.46,-0.28
201203,3.11,-0.68,1.21,1.51
201204,-0.85,-0.39,-0.77,3.83
201205,-6.19,0.16,-1.04,6.63
201206,3.89,0.78,0.58,-0.76
201207,0.79,-2.62,-0.05,3.1
201208,2.55,0.47,1.12,-2.47
201209,2.73,0.49,1.56,-1.06
201210,-1.76,-1.09,3.61,0.08
201211,0.78,0.53,-0.83,0.4
201212,1.18,1.45,3.53,-2.95
201301,5.57,0.36,0.98,-1.9
201302,1.29,-0.42,0.13,1.31
201303,4.03,0.75,-0.23,1.96
201304,1.55,-2.4,0.53,0.27
201305,2.8,1.66,2.61,-1.74
201306,-1.2,1.16,-0.09,0.58
201307,5.65,1.86,0.56,1.78
201308,-2.71,0.29,-2.66,0.02
201309,3.77,2.89,-1.15,2.96
201310,4.18,-1.53,1.21,0.17
201311,3.13,1.19,0.29,0.44
201312,2.81,-0.59,-0.05,0.07
201401,-3.32,0.87,-2.02,1.74
201402,4.65,0.31,-0.36,2.05
201403,0.43,-1.85,4.9,-3.38
201404,-0.19,-4.21,1.12,-3.77
201405,2.06,-1.9,-0.12,1.21
201406,2.61,3.08,-0.67,0.74
201407,-2.04,-4.27,0.02,-0.24
201408,4.24,0.36,-0.42,0.79
201409,-1.97,-3.73,-1.38,0.44
201410,2.52,4.28,-1.8,-0.04
201411,2.55,-2.04,-3.07,1.06
201412,-0.06,2.48,2.23,1.09
201501,-3.11,-0.51,-3.56,3.81
201502,6.14,0.52,-1.81,-2.83
201503,-1.12,3.02,-0.41,3
201504,0.59,-3.04,1.88,-7.32
201505,1.36,0.89,-1.1,6.03
201506,-1.53,2.85,-0.74,3.07
201507,1.54,-4.09,-4.21,10.29
201508,-6.04,0.44,2.73,-2.09
201509,-3.07,-2.61,0.39,5.35
201510,7.75,-1.98,-0.25,-4.03
201511,0.56,3.68,-0.49,2.21
201512,-2.17,-2.86,-2.45,3.41
201601,-5.77,-3.36,2.01,1.34
201602,-0.08,0.83,-0.6,-4.06
201603,6.96,0.82,1.11,-5.13
201604,0.92,0.69,3.28,-6.26
201605,1.78,-0.27,-1.6,2.14
201606,-0.05,0.64,-1.4,4.11
201607,3.95,2.6,-1.23,-3.08
201608,0.5,1.13,3.31,-3.17
201609,0.25,2.04,-1.21,-0.53
201610,-2.02,-4.43,4.07,0.69
201611,4.86,5.47,8.22,-4.07
201612,1.81,0.11,3.51,-0.38
201701,1.94,-1.06,-2.81,-0.98
201702,3.57,-2.01,-1.79,-1.63
201703,0.17,1.17,-3.33,-0.92
201704,1.09,0.72,-2.11,0.44
201705,1.06,-2.61,-3.67,1.46
201706,0.78,2.15,1.45,-0.32
201707,1.87,-1.47,-0.36,1.66
201708,0.16,-1.62,-2.19,3.55
201709,2.51,4.47,3.14,-1.18
201710,2.25,-1.95,0.12,4.3
201711,3.12,-0.58,-0.09,-0.71
201712,1.06,-1.29,0.17,-1.63
201801,5.58,-3.09,-1.32,3.94
201802,-3.65,0.3,-1.01,3.97
201803,-2.35,4.05,-0.12,-1.28
201804,0.29,1.13,0.5,0.27
201805,2.65,5.28,-3.15,3.8
201806,0.48,1.19,-2.31,-2.38
201807,3.19,-2.21,0.57,-1.67
201808,3.44,1.15,-3.92,5.22
201809,0.06,-2.28,-1.63,-0.06
201810,-7.68,-4.78,3.46,-1.84
201811,1.69,-0.71,0.34,-1.33
201812,-9.55,-2.48,-1.89,1.85
201901,8.41,2.89,-0.46,-8.65
201902,3.4,2.12,-2.71,0.86
201903,1.1,-3.05,-4.19,2.14
201904,3.96,-1.75,2.02,-2.55
201905,-6.94,-1.18,-2.28,7.6
201906,6.93,0.22,-0.79,-2.14
201907,1.19,-2.08,0.34,2.72
201908,-2.58,-2.4,-4.85,7.64
201909,1.43,-1.05,6.77,-6.85
201910,2.06,0.24,-1.88,0.29
201911,3.87,0.91,-2.05,-2.6
201912,2.77,0.67,1.91,-2.27
202001,-0.11,-3.08,-6.27,5.43
202002,-8.13,1.02,-3.92,-0.23
202003,-13.38,-5.03,-13.96,8.55
202004,13.65,2.75,-1.39,-5.49
202005,5.58,2.49,-5.05,0.67
202006,2.46,2.71,-2.35,-0.75
202007,5.77,-2.18,-1.39,7.61
202008,7.63,-0.25,-2.94,0.51
202009,-3.63,0.06,-2.51,3.05
202010,-2.1,4.44,4.03,-3.03
202011,12.47,5.48,2.11,-12.25
